sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCF9,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F9.tif,95-1_Female_x_129-1_Male,plate1,F9
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G1.tif,95-1_Female_x_129-1_Male,plate1,G1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG10,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G10.tif,95-1_Female_x_129-1_Male,plate1,G10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG11,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G11.tif,95-1_Female_x_129-1_Male,plate1,G11
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG2,11,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G2.tif,95-1_Female_x_129-1_Male,plate1,G2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG4,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G4.tif,95-1_Female_x_129-1_Male,plate1,G4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG5,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G5.tif,95-1_Female_x_129-1_Male,plate1,G5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG6,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G6.tif,95-1_Female_x_129-1_Male,plate1,G6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G7.tif,95-1_Female_x_129-1_Male,plate1,G7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCG8,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_G8.tif,95-1_Female_x_129-1_Male,plate1,G8
